signal_id,symbol,signal_market_cap,gt_score,decision,bought,t0_timestamp,X_price,X_market_cap,X_liquidity,X_volume,X_buys,X_sells,X_social_mentions,X_social_velocity,X_mentions_per_minute,X_growth_rate,X_viral_acceleration,X_engagement_velocity,X_engagement_score,X_viral_score,X_news_score,X_news_sentiment,X_news_minutes_old,X_news_credibility,X_freshness_score,X_sentiment_positive,X_sentiment_neutral,X_sentiment_negative,X_sentiment_confidence,X_sentiment_strength,X_sarcasm_probability,X_narrative_confidence,X_narrative_heat_score,X_kol_mentions,X_kol_score,X_telegram_members,X_twitter_followers,X_community_growth_rate,X_message_rate,X_active_users,X_mc_velocity,X_holder_velocity,X_volume_velocity,X_buy_velocity,X_liquidity_change,X_mc_acceleration,X_holder_acceleration,X_volume_acceleration,X_buy_sell_ratio,snapshot_source_timestamp,intel_source_timestamp,Y_max_return,Y_peak_market_cap,Y_time_to_peak,Y_rugged,Y_lowest_market_cap,Y_peak_price,Y_lowest_price,Y_min_return,Y_returned_2x,Y_returned_5x,Y_returned_10x
b962e72f-9f13-4f69-8030-426f7ba1eca5,cripto,33100.0,2,SKIP,0,1785939796.6147628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.47129909365559,57750.0,349.3068571090698,1.0,1747.0,5.775e-05,1.797e-06,-94.72205438066466,0.0,0.0,0.0
726a915e-96cc-4b0a-b11e-bb8564314d0b,PENGUIN,36600.0,2,SKIP,0,1785940396.6198978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.169398907103826,39590.0,143.8447620868683,1.0,1009.0,3.959e-05,1.008e-06,-97.2431693989071,0.0,0.0,0.0
90670ed6-e50e-41f0-8535-557410af3cfd,DICK,35300.0,2,SKIP,0,1785940696.7806137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198.6232294617564,458414.0,9244.222566366196,0.0,26699.23,0.0004677,2.669e-05,-24.364787535410766,1.0,1.0,1.0
b0bd714e-4bb5-4472-823c-81787fceffe7,MUSK,57600.0,3,WATCH,0,1785941964.5450742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.19270833333334,109551.0,76296.49471569061,1.0,7698.0,0.0001126,7.698e-06,-86.63541666666667,0.0,0.0,0.0
fbbb62e0-33cd-4d2c-b7c7-2a735fbfbea8,MUSK,34600.0,2,SKIP,0,1785942298.225297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1098265895953756,35676.0,112.76340293884277,1.0,2166.0,3.567e-05,2.323e-06,-93.73988439306359,0.0,0.0,0.0
4d824328-0b1d-46d0-a188-a26f843372b4,TINYTANK,38900.0,2,SKIP,0,1786019035.1888661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3663.5886889460153,1464036.0,19777.463303804398,1.0,7487.0,0.001501,7.487e-06,-80.75321336760925,1.0,1.0,1.0
6f0b6d9d-b916-44d2-af04-484d0a3c517f,POORCAT,30700.0,2,WATCH,0,1786020596.1685398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.88925081433225,47858.0,312.0295901298523,1.0,1698.0,4.786e-05,1.791e-06,-94.46905537459284,0.0,0.0,0.0
bc0829f3-0787-434f-ac8f-32b8ebe55b54,SIBBELL,33200.0,2,WATCH,0,1786029269.9091446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,32384.0,41.45938539505005,1.0,1640.0,3.238e-05,1.765e-06,-95.06024096385542,0.0,0.0,0.0
56388a7d-5bbc-4c9c-ae71-ee4797ed336e,shibanana,34800.0,2,SKIP,0,1786029449.201315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.56896551724138,63186.0,281.54080510139465,1.0,4193.0,6.318e-05,4.312e-06,-87.95114942528735,0.0,0.0,0.0
81c74147-065e-4d3b-acc5-a1acffba0f64,MMM,36000.0,2,SKIP,0,1786029737.6354432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,33023.0,88.77768683433533,1.0,1907.0,3.302e-05,2.027e-06,-94.70277777777778,0.0,0.0,0.0
49d95206-4cff-481a-a6e0-ee0dc35b5a62,TERAFAB,35900.0,2,SKIP,0,1786031593.633977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.77437325905292,56282.0,3262.032513141632,1.0,1900.0,5.628e-05,1.989e-06,-94.70752089136491,0.0,0.0,0.0
c643f766-eb22-4220-b6a0-220563a83b29,Joe,36100.0,2,SKIP,0,1786031999.004832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,29016.0,41.852328062057495,1.0,1545.0,2.901e-05,1.761e-06,-95.72022160664821,0.0,0.0,0.0
